"Y1","Y2","Y3","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
9.26,204.2,13.26,0.23,0.78,0.4,1.37,1.23,0.23,1.45,26006,167.69,47750,6.4,166.32,10.08,17.72
9.38,209.6,10.16,0.24,0.75,0.26,1.49,1.04,0.39,1.3,23935,186.1,50391,7.8,92.88,14.76,18.39
12.11,222.6,13.72,0.19,0.68,0.4,1.44,1.8,0.43,1.37,22589,220.45,43149,9.76,158.04,6.48,26.46
10.81,236.7,12.85,0.17,0.7,0.5,1.42,0.43,0.18,1.65,21220,169.3,41089,7.9,93.96,21.96,22.37
9.35,62,10.63,0.23,0.62,0.4,1.35,0.88,0.15,1.91,7394,39.53,14257,5.35,173.88,11.88,28.13
9.87,53.1,9.12,0.43,0.76,0.19,1.39,0.57,0.34,1.68,11586,40.41,22661,9.9,162.3,12.6,17.55
8.17,172.1,25.83,0.31,0.73,0.25,1.16,1.72,0.38,1.94,26609,102.96,52509,4.5,88.56,11.52,21.92
9.12,56.5,23.39,0.26,0.71,0.44,1.27,1.7,0.09,1.89,7801,37.02,14903,4.88,101.16,8.28,19.52
5.88,52.6,14.68,0.49,0.69,0.17,1.16,0.84,0.14,1.94,11587,45.74,25587,3.46,166.32,11.52,23.99
6.3,46.6,10.05,0.36,0.73,0.39,1.25,0.6,0.21,2.06,9475,40.07,16821,3.6,140.76,32.4,21.76
6.22,53.2,13.99,0.37,0.68,0.33,1.13,0.82,0.42,1.96,10811,45.44,19459,3.56,128.52,11.52,25.68
5.49,30.1,9.68,0.43,0.74,0.25,1.1,0.84,0.05,1.02,6371,41.08,12973,5.65,177.84,17.28,18.13
6.5,146.4,10.03,0.35,0.66,0.32,1.15,0.67,0.29,1.85,26761,136.14,50907,4.28,114.48,16.2,25.74
6.61,18.1,9.13,0.38,0.72,0.02,1.23,1.04,0.48,0.88,4210,42.39,6920,8.85,93.24,13.32,21.21
4.32,13.6,5.37,0.42,0.68,0.06,1.39,0.66,0.41,0.62,3557,37.39,5736,8.52,126.72,17.28,22.97
7.37,89.8,9.86,0.3,0.77,0.15,1.38,0.86,0.62,1.09,14148,101.78,26705,7.19,91.8,9.72,16.38
7.02,62.5,12.62,0.32,0.78,0.08,1.35,0.79,0.56,1.6,9872,47.55,20068,4.82,69.12,16.2,13.21
8.25,46.3,5.02,0.25,0.78,0.2,1.42,0.34,1.76,1.53,5975,32.61,11487,5.46,66.24,24.84,14.48
8.15,103.5,21.18,0.31,0.81,0.2,1.37,1.6,1.31,1.4,16662,103.25,32029,6.2,67.68,14.76,13.38
8.72,73.3,25.17,0.26,0.79,0.3,1.41,1.46,0.45,2.22,9166,38.95,18946,4.25,50.4,7.56,13.69
6.64,76.6,19.4,0.37,0.77,0.24,1.35,1.27,0.5,1.32,15118,81.32,28025,5.38,70.56,8.64,16.66
8.1,73,21,0.29,0.78,0.1,1.48,1.58,0.77,1.48,11429,67.26,20968,5.88,72,8.64,15.06
5.52,32.3,6.57,0.34,0.72,0.11,1.24,0.68,1.2,0.68,6462,59.92,11049,9.27,97.2,9,20.09
9.37,199.6,14.19,0.23,0.79,0.47,1.4,0.86,0.21,2.3,24628,107.34,45893,4.36,80.28,14.76,15.98
13.17,598.1,15.81,0.17,0.77,0.53,1.45,1.98,0.25,1.37,49727,512.6,99400,10.31,51.48,10.08,18.27
6.67,71.2,5.23,0.29,0.8,0.34,1.4,0.33,0.15,1.51,11470,53.81,20719,4.69,105.12,14.76,14.42
5.68,90.8,7.99,0.41,0.71,0.2,1.28,0.45,0.66,1.43,19448,80.83,36813,4.16,128.52,10.44,22.76
5.22,82.1,17.5,0.41,0.79,0.24,1.33,0.74,0.74,1.82,18963,59.42,33956,3.13,94.68,14.76,15.41
10.02,76.2,17.16,0.22,0.76,0.54,1.22,0.03,0.32,2.62,9185,36.96,17016,4.02,85.32,20.52,19.35
8.16,119.5,14.54,0.29,0.78,0.4,1.28,0.99,0.89,1.75,17478,91.43,34873,5.23,76.32,14.4,16.83
3.78,21.9,6.24,0.51,0.62,0.2,1.47,0.24,0.23,1.54,6265,17.16,11237,2.74,153,24.84,30.53
6.48,48.4,12.08,0.36,0.75,0.64,1.27,0.57,0.32,2.25,8810,27.29,17306,3.1,107.64,11.16,17.98
10.44,173.5,9.49,0.23,0.71,0.42,1.51,1.22,0.54,1.07,17659,184.33,39250,10.44,90.72,6.48,22.09
7.65,74.1,9.28,0.26,0.74,0.27,1.46,0.68,0.75,1.44,10342,58.42,19074,5.65,82.44,9.72,18.29
8.77,68.6,11.42,0.27,0.65,0.37,1.27,1,0.16,1.4,8901,59.4,18452,6.67,79.92,3.24,26.05
7,60.8,10.31,0.29,0.66,0.38,1.43,0.81,0.24,1.31,8402,49.63,17500,5.91,120.96,6.48,26.2
11.06,355.6,8.65,0.01,0.84,0.35,1.5,1.27,0.59,1.12,32625,391.27,7888,11.99,84.6,5.4,17.26
9.02,264.8,10.94,0.02,0.74,0.42,1.35,1.14,0.56,1.16,31160,258.62,58947,8.3,85.32,6.12,18.83
13.28,526.6,9.87,0.18,0.75,0.32,1.41,1.89,0.63,0.88,46461,75.66,94697,1.63,101.52,8.64,19.7
9.27,118.6,6.14,0.25,0.75,0.33,1.47,0.67,1.1,1.07,13833,123.68,29626,8.94,107.64,11.88,16.87
6.7,37.1,12.93,0.31,0.79,0.29,1.35,0.96,0.39,1.24,6391,37.21,11688,5.82,85.32,7.92,14.63
6.69,57.7,9.78,0.38,0.72,0.3,1.4,0.67,0.73,1.49,11115,53.37,21955,4.8,131.76,10.08,22.17
9.42,51.6,13.22,0.24,0.7,0.56,1.2,0.98,0.28,2.03,6555,32.87,12243,5.01,116.64,18.72,22.62
7.24,64.7,17.29,0.31,0.66,0.42,1.15,1.16,0.1,1.84,11085,45.63,20193,4.12,138.24,13.68,26.44
5.39,48.3,7.11,0.42,0.69,0.26,1.09,0.54,0.68,1.22,9484,48.41,20122,5.1,156.96,16.56,22.26
5.61,15,22.49,0.51,0.71,0.16,1.26,1.23,0.87,1.72,3967,13.58,7612,3.49,137.52,14.76,19.13
5.59,87.5,12.14,0.31,0.73,0.45,1.36,0.78,0.49,1.75,15283,63.99,27404,4.19,135.72,7.92,18.28
6.57,108.4,15.25,0.37,0.65,0.31,1.15,1.16,0.16,1.46,20874,104.55,39648,5.01,155.52,18.36,28.23
6.54,267.3,31.34,0.16,0.82,0.08,1.87,4.44,0.85,1.6,19418,222.11,43799,11.44,48.6,8.28,12.39
4.23,34.2,11.56,0.18,0.8,0.68,1.17,1.06,0.13,1.47,3351,25.76,6235,7.67,42.84,14.04,11.64
5.22,26.8,30.14,0.43,0.83,0.03,1.61,2.13,0.49,1.38,6338,29.52,11524,4.66,142.2,16.92,8.62
18,43.6,19.71,0.4,0.7,0.02,1.34,1.21,0.09,1.41,9756,41.99,17309,4.3,145.8,11.16,20.1
11.03,72,23.56,0.31,0.74,0.22,1.22,2.2,0.79,1.39,11795,78.11,22225,6.62,120.52,14.76,19.41
